model,material,numSamples,Accuracy,F1,Precision,Recall,mean_fit_time,std_fit_time,mean_score_time,std_score_time,AUC
DT,aluminum,120,0.991853848457622,0.991853848457622,0.991853848457622,0.991853848457622,4.087469911575317,0.1932453099002348,0.2401721954345703,0.0111385857228159,0.9949051699957344
DT,aluminum,240,0.999970050913447,0.999970050913447,0.999970050913447,0.999970050913447,3.357645416259765,0.0570995676921003,0.2549751758575439,0.0127386606330973,0.9999812663813996
KNN,aluminum,120,0.9988619347109914,0.9988619347109914,0.9988619347109914,0.9988619347109914,0.1442480087280273,0.0519935065577051,32.49953379631042,0.1876145340739022,0.9998494257240844
KNN,aluminum,240,0.999970050913447,0.999970050913447,0.999970050913447,0.999970050913447,0.2787600040435791,0.0365404547701419,70.40780777931214,1.1998486630437235,0.9999813451267536
NC,aluminum,120,0.6673554956573825,0.6673554956573825,0.6673554956573825,0.6673554956573825,0.1568896770477295,0.0111723442337034,0.188646650314331,0.0508478814852687,
NC,aluminum,240,0.7003893381251871,0.7003893381251871,0.7003893381251871,0.7003893381251871,0.363419771194458,0.0121381250039115,0.2721549034118652,0.0628501732150922,
RF,aluminum,120,0.9985624438454628,0.9985624438454628,0.9985624438454628,0.9985624438454628,169.16282138824462,0.9107162220804382,1.5001266479492188,0.079505328068761,0.999992587503712
RF,aluminum,240,0.9998203054806828,0.9998203054806828,0.9998203054806828,0.9998203054806828,0.3088089942932129,0.0185297686544026,0.2175575256347656,0.0078358441264179,0.9998873985415424
SGD,aluminum,120,0.8278526504941599,0.8278526504941599,0.8278526504941599,0.8278526504941599,6.413305807113647,0.4592489299558664,0.1554203510284423,0.0125485797239531,
SGD,aluminum,240,0.8761305780173704,0.8761305780173704,0.8761305780173704,0.8761305780173704,18.2925163269043,0.7754733046401905,0.1542649269104004,0.0111883053298475,
SVM,aluminum,120,0.8976040730757712,0.8976040730757712,0.8976040730757712,0.8976040730757712,160.52405710220336,4.153306311699573,31.10833477973938,1.3441169854021575,
SVM,aluminum,240,0.929290206648697,0.929290206648697,0.929290206648697,0.929290206648697,217.32651734352112,3.431664127215272,55.07177219390869,1.8355550549068775,
